Name	lat	lng	population
Brataj	40.26778	19.66917	257
Bërzhitë	41.24528	19.90111	216
Bërxull	41.38	19.6875	133
Bërdica e Madhe	42.01528	19.48167	11
Berat	40.70583	19.95222	66
Belsh	40.975	19.88194	217
Baz	41.63194	19.92917	319
Banaj	40.82492	19.84074	17
Ballsh	40.59889	19.73472	206
Ballagat	40.99528	19.76528	179
Baldushk	41.21389	19.79694	194
Armen	40.53639	19.59611	53
Aranitas	40.59444	19.80667	297
Allkaj	40.8575	19.75528	15
Golem	41.24583	19.53472	13
Balldreni i Ri	41.81917	19.64028	22
Grudë-Fushë	42.16222	19.49667	66
Fierzë	40.92056	19.84694	178
Dushk	40.72667	19.75722	50
Selitë	40.5475	19.84806	533
Vllahinë	40.45694	19.64361	121
Bajram Curri	42.35734	20.07679	351
Zarrit’ap’	39.63892	45.51111	1512
Zangakatun	39.82233	45.04169	1679
Goravan	39.90832	44.73328	922
Yeghegnavan	39.83893	44.61951	816
Yeghegnadzor	39.76389	45.33239	1242
Vostan	39.96515	44.55937	837
Vosketap’	39.88114	44.64917	841
Vernashen	39.79236	45.36389	1543
Verishen	39.53543	46.32063	1621
Vedi	39.91388	44.7251	914
Vayk’	39.6889	45.46668	1237
Tegh	39.55826	46.48054	1318
Surenavan	39.79449	44.77508	821
Sisavan	39.90802	44.66721	865
Shinuhayr	39.4367	46.31787	1500
Lusarrat	39.87403	44.58678	821
Shahumyan	39.94171	44.57233	832
Shatin	39.83612	45.30292	1276
Shaghat	39.55698	45.90727	1790
Rrind	39.76111	45.17792	1316
Noyakert	39.83069	44.66949	827
Mrgavan	39.97251	44.53565	840
Meghri	38.90292	46.24458	657
Malishka	39.74731	45.4057	1260
Khndzoresk	39.50568	46.4361	1408
Kapan	39.20755	46.40576	774
Jermuk	39.84168	45.66949	2103
Goris	39.51111	46.34168	1351
Gladzor	39.7807	45.34729	1378
Getap’	39.76392	45.30829	1118
Dzorastan	39.27059	46.3572	1206
Dalar	39.97653	44.52649	839
Burastan	39.99157	44.49681	839
Akner	39.53491	46.30732	1641
Brrnakot’	39.49742	45.97241	1698
Berk’anush	39.9779	44.51672	836
Aygezard	39.95436	44.60229	877
Aygepat	39.95845	44.59981	880
Aygavan	39.87327	44.66984	847
Avshar	39.85553	44.65832	832
Hats’avan	39.46405	45.97047	1761
Artashat	39.96144	44.54447	830
Yeghegis	39.87231	45.3501	1573
Armash	39.76672	44.8111	840
Areni	39.71668	45.18329	1081
Ararat	39.83069	44.70569	823
Angeghakot’	39.56952	45.94452	1822
Aghavnadzor	39.78607	45.2279	1553
Agarakadzor	39.73608	45.35553	1143
Agarak	39.20684	46.5446	998
Aralez	39.90008	44.6557	856
Horrom	40.65973	43.89032	1578
Margara	40.03332	44.18048	843
Zovuni	40.51111	44.4389	1856
Zovaber	40.56671	44.79028	1765
Zorak	40.09168	44.39447	835
Zarr	40.25848	44.73328	1622
Yerevan	40.18111	44.51361	994
Yerazgavors	40.69505	43.74722	1452
Yeraskhahun	40.07233	44.21948	843
Yeranos	40.20428	45.19209	1982
Yeghegnut	40.90302	44.63155	1096
Yeghegnut	40.08893	44.16669	847
Vagharshapat	40.16557	44.29462	877
Yeghvard	40.32507	44.48608	1343
Voskevaz	40.27508	44.30011	1042
Voskevan	41.12081	45.06381	946
Voskehask	40.76426	43.77474	1495
Verin Getashen	40.13068	45.25293	1980
Verin Dvin	40.02434	44.59038	955
Verin Artashat	39.99731	44.58893	893
Akht’ala	41.16838	44.75811	1214
Varser	40.55548	44.90832	1917
Vardenis	40.18329	45.73053	1939
Vardenik	40.13348	45.44311	1971
Vahan	40.57549	45.39769	1925
Vaghashen	40.13611	45.33069	1957
Vahagni	40.90698	44.60873	1076
Ushi	40.34729	44.37512	1394
Urrut	41.06778	44.39628	1459
Tsovinar	40.15959	45.46786	1926
Tsovazard	40.4751	45.05011	1944
Tsovak	40.18254	45.63286	1923
Tsovagyugh	40.63348	44.96112	2016
Tsaghkunk’	40.18048	44.27228	886
Tsaghkahovit	40.63428	44.22241	2108
Tsaghkaber	40.79849	44.10144	1762
Tsaghkadzor	40.53259	44.72025	1861
Tsovasar	40.1382	45.19096	2100
Tashir	41.12072	44.28462	1505
Tandzut	40.06952	44.07788	854
T’alin	40.39172	43.87793	1631
Step’anavan	41.00995	44.38531	1405
Spitak	40.83221	44.26731	1548
Spandaryan	40.66105	44.01551	1825
Alashkert	40.10712	44.05108	857
Solak	40.46252	44.70709	1658
Sis	40.05829	44.38892	829
Shnogh	41.14693	44.84043	640
Shirak	40.84042	43.91582	1634
Shenavan	40.48328	44.38348	1881
Shenavan	40.05548	43.93048	896
Sevan	40.5473	44.94171	1934
Sarukhan	40.29169	45.13068	1990
Sarigyugh	41.03531	45.14486	828
Saratak	40.6709	43.87231	1561
Saramej	40.77487	44.2222	1780
Sarahart’	40.87043	44.21407	1733
Geghakert	40.18516	44.24331	883
Ptghni	40.25568	44.58612	1336
Ptghunk’	40.16388	44.36389	868
P’shatavan	40.03888	44.06671	860
Prroshyan	40.24731	44.41949	1185
P’ok’r Mant’ash	40.64026	44.04666	1977
Zoravan	40.35553	44.52228	1469
Pemzashen	40.58612	43.94311	1803
Parravak’ar	40.98248	45.36696	768
Oshakan	40.26392	44.31671	1051
Sardarapat	40.13206	44.00969	862
Odzun	41.05321	44.61341	1107
Noyemberyan	41.17244	44.99917	842
Nor Gyugh	40.26672	44.65832	1432
Nor Geghi	40.32233	44.58331	1313
Norashen	41.18886	44.33336	1586
Norashen	40.0013	44.59296	906
Nor Armavir	40.08612	43.99451	888
Noramarg	40.02228	44.42511	829
Norakert	40.19733	44.3501	942
Noratus	40.37793	45.18048	1926
Nerk’in Getashen	40.14172	45.27087	1936
Navur	40.86695	45.34179	1482
Nalbandyan	40.0639	43.98889	870
Basen	40.75767	43.99274	1638
Hovtamej	40.18329	44.25848	885
Mrgashen	40.28607	44.54449	1335
Mrgashat	40.13068	44.08069	849
Mrganush	40.02857	44.55831	908
Mosesgegh	40.90534	45.48838	817
Mets Parni	40.83472	44.11108	1697
Mets Masrik	40.21948	45.76391	1943
Mets Mant’ash	40.64376	44.05653	1962
Metsavan	41.20156	44.22877	1576
Metsamor	40.07233	44.29169	840
Merdzavan	40.1814	44.40033	939
Meghrashen	40.6723	43.95831	1664
Meghradzor	40.60611	44.65147	1785
Mayakovski	40.25293	44.63892	1418
Masis	40.06542	44.41618	833
Martuni	40.13892	45.30548	1935
Marmarashen	40.05829	44.47229	847
Marmashen	40.83486	43.7779	1619
Margahovit	40.73381	44.68474	1752
Maralik	40.57507	43.87231	1713
Mayisyan	40.84715	43.83938	1642
Madina	40.07637	45.25507	2169
Lukashin	40.18726	44.0039	874
Lorut	40.93717	44.77142	1499
Lichk’	40.15933	45.23467	1930
Lerrnavan	40.7882	44.16024	1778
Lerrnapat	40.81538	44.39344	1524
Lerrnants’k’	40.79532	44.27435	1667
Lerrnanist	40.46676	44.79249	1922
Lerrnakert	40.5625	43.9389	1984
Khoronk’	40.13611	44.24731	858
Lchashen	40.51947	44.93048	1929
Lchap’	40.45569	45.07507	1931
Lanjaghbyur	40.26947	45.14447	2042
Kotayk’	40.27789	44.66388	1443
Kosh	40.30011	44.16107	1205
Vanadzor	40.80456	44.4939	1344
Hnaberd	40.63721	44.14058	2110
Khasht’arrak	40.93668	45.1821	816
Kasakh	40.53697	44.41046	1857
Karchaghbyur	40.17048	45.57785	1950
Karbi	40.33069	44.37793	1305
Karanlukh	40.10444	45.28972	2111
Kaputan	40.32507	44.70007	1765
K’anak’erravan	40.24739	44.53511	1252
Kamo	40.82572	43.95071	1642
Gavarr	40.35398	45.12386	1953
Mayisyan	40.15701	44.09192	874
Shahumyan	40.77482	44.54596	1520
Ijevan	40.87877	45.14851	677
Hrazdan	40.49748	44.7662	1762
Armavir	40.15446	44.03815	870
Hayanist	40.12231	44.37793	843
Haghartsin	40.77614	44.96847	1015
Gyumri	40.7942	43.84528	1549
Gyulagarak	40.96715	44.47144	1366
Ghukasavan	40.12793	44.41669	851
Geghamasar	40.31091	45.67924	2047
Gugark’	40.8046	44.54025	1320
Tsiatsan	40.1861	44.26947	886
Goght’	40.1347	44.78332	1578
Gogaran	40.89255	44.19915	1849
Getazat	40.03844	44.56369	939
Getashen	40.04449	43.94171	888
Geghanist	40.14587	44.43048	868
Geghamavan	40.5625	44.88892	1853
Garrni	40.11931	44.73442	1413
Gagarin	40.54026	44.86962	1891
Fantan	40.39447	44.6861	1801
Fioletovo	40.72241	44.71769	1686
Dzoraghbyur	40.20412	44.6415	1549
Dzoragyugh	40.16957	45.18337	2016
Dzit’hank’ov	40.50848	43.82092	1751
Jrashen	40.79028	44.18664	1676
Jrashen	40.05275	44.51259	941
Jrahovit	40.0473	44.4751	837
Janfida	40.04449	44.02789	866
Dvin	40.01984	44.58376	928
Dsegh	40.9617	44.65003	1216
Drakhtik	40.56497	45.2367	1983
Doghs	40.22229	44.27228	926
Dilijan	40.7417	44.8501	1315
Ddmashen	40.57028	44.82295	1798
Darpas	40.83674	44.42494	1377
Dalarik	40.2279	43.87793	1005
Chochkan	41.18118	44.83217	767
Chambarak	40.59655	45.35498	1848
Bjni	40.45831	44.65008	1490
Byureghavan	40.31417	44.59333	1385
Byurakan	40.33894	44.27275	1489
Buzhakan	40.45569	44.51947	1845
Berdavan	41.20503	44.99967	705
Berd	40.88135	45.38901	949
Bazum	40.86763	44.43978	1521
Byuravan	40.01604	44.51889	868
Bambakashat	40.10828	44.01947	865
Balahovit	40.25153	44.60828	1409
Bagratashen	41.24358	44.81737	440
Azatan	40.71959	43.82727	1498
Haykavan	40.80312	43.75173	1557
Aygestan	40.00293	44.55829	869
Aygeshat	40.23608	44.28888	942
Aygeshat	40.07507	44.0611	859
Aknalich	40.14728	44.16669	862
Aygehovit	40.97951	45.25033	697
Artimet	40.15008	44.26672	859
Astghadzor	40.12231	45.35553	2035
Ashtarak	40.2991	44.36204	1142
Ashnak	40.33069	43.91669	1429
Arzni	40.2973	44.59869	1349
Arzakan	40.45007	44.60828	1483
Arteni	40.2973	43.76672	1206
Arshaluys	40.16949	44.21393	868
Argel	40.37793	44.6001	1430
Argavand	40.15289	44.4389	881
Argavand	40.0611	44.09448	855
Arevshat	40.65345	44.04419	1913
Arevshat	40.03963	44.54179	931
Arevik	40.7417	43.9043	1532
Arevik	40.1001	44.09448	853
Arevashogh	40.86039	44.27438	1680
Arevashat	40.14447	44.37512	853
Archis	41.16351	44.87631	754
Arbat’	40.13892	44.40289	856
Arazap’	40.04169	44.14728	847
Arrap’i	40.78276	43.80583	1487
Aramus	40.25095	44.66351	1441
Arak’s	40.05548	44.30292	837
Aragats	40.48889	44.3529	1976
Aparan	40.59323	44.3589	1892
Apaga	40.09729	44.25293	843
Anushavan	40.65008	43.98053	1722
Amasia	40.95442	43.7872	1877
Alaverdi	41.09766	44.67316	699
Akunk’	40.26672	44.6861	1459
Akunk’	40.15886	45.72568	1961
Akhuryan	40.78003	43.90027	1544
Aghavnatun	40.2333	44.25295	931
Aghavnadzor	40.58195	44.69581	1771
Agarak	41.01072	44.46845	1375
Agarakavan	40.33069	44.07233	1445
Abovyan	40.27368	44.63348	1423
Abovyan	40.04851	44.54742	956
Vardablur	40.97083	44.50889	1318
Bardzrashen	40.08533	44.57957	1154
Nshavan	40.02787	44.52565	886
Norabats’	40.10553	44.43329	864
Shirakamut	40.86056	44.15278	1766
Azatamut	40.98204	45.18551	547
Artsvaberd	40.83947	45.47033	1285
Nor Yerznka	40.30011	44.38892	1193
Sasunik	40.25012	44.34448	1071
Gandzak	40.31472	45.11139	1989
Myasnikyan	40.18048	43.91949	906
Lenughi	40.12512	43.96393	887
Metsamor	40.14447	44.1167	861
Gay	40.08444	44.30528	840
Baghramyan	40.19452	44.36951	947
Musalerr	40.1557	44.37793	862
Darakert	40.10553	44.41388	844
Dashtavan	40.1001	44.39172	836
Nizami	40.09168	44.4057	838
Vardadzor	40.18701	45.19212	1997
Taronik	40.13367	44.19957	851
Aknashen	40.09551	44.28604	838
Haykashen	40.07233	44.30829	837
Hovtashat	40.09729	44.34448	836
Sayat’-Nova	40.07507	44.40008	833
Voskehat	40.14172	44.33069	857
Griboyedov	40.11307	44.27169	845
Gmbet’	40.22369	44.25409	917
Aygek	40.1889	44.38611	948
Hovtashen	40.02508	44.45007	826
Dimitrov	40.00848	44.4917	845
Mrgavet	40.02789	44.48328	842
Arevabuyr	40.03607	44.46948	834
Saurimo	-9.66078	20.39155	1071
Lucapa	-8.41915	20.74466	955
Lumeje	-11.55	20.78333	1144
Luau	-10.70727	22.22466	1106
Léua	-11.65	20.45	1236
Cazaji	-11.06715	20.70148	1188
Uíge	-7.60874	15.06131	825
Soio	-6.1349	12.36894	10
N'zeto	-7.23116	12.8666	19
N’dalatando	-9.29782	14.91162	795
Mbanza Kongo	-6.26703	14.2401	544
Malanje	-9.54015	16.34096	1134
Luanda	-8.83682	13.23432	73
Caxito	-8.57848	13.66425	20
Camabatela	-8.18812	15.37495	1237
Cabinda	-5.55	12.2	1
Uacu Cungo	-11.35669	15.11719	1304
Sumbe	-11.20605	13.84371	10
Quibala	-10.73366	14.97995	1284
Ondjiva	-17.06667	15.73333	1113
Namibe	-15.19611	12.15222	13
Menongue	-14.6585	17.69099	1355
Luena	-11.78333	19.91667	1337
Lubango	-14.91717	13.4925	1760
Longonjo	-12.90667	15.25333	1424
Lobito	-12.3644	13.53601	4
Cuito	-12.38333	16.93333	1715
Huambo	-12.77611	15.73917	1716
Chissamba	-12.16667	17.33333	1404
Catumbela	-12.43002	13.54677	12
Catabola	-12.15	17.28333	1531
Camacupa	-12.01667	17.48333	1473
Caconda	-13.73333	15.06667	1674
Caála	-12.8525	15.56056	1742
Benguela	-12.57626	13.40547	11
Chela	-12.30261	15.43358	1716
Chinjenje	-12.93244	14.99238	1895
McMurdo Station	-77.846	166.676	-9999
Zárate	-34.09814	-59.02858	28
Yataity Calle	-29.01913	-58.90846	72
Yapeyú	-29.46914	-56.81841	64
Wanda	-25.96879	-54.56285	206
Villa Paranacito	-33.71381	-58.65844	7
Villa Ortúzar	-34.57973	-58.46829	26
Villa Ocampo	-28.48752	-59.35515	54
Villa María Grande	-31.66565	-59.90182	94
Villa Mantero	-32.39727	-58.74596	46
Villa Lugano	-34.67907	-58.47263	19
Villa Hernandarias	-31.23097	-59.98464	52
Villaguay	-31.8653	-59.02689	50
Villa Gesell	-37.26394	-56.97304	9
Villa Escolar	-26.62209	-58.67134	69
Villa Elisa	-32.1632	-58.40082	57
Villa de Mayo	-34.5108	-58.68059	16
Villa del Rosario	-30.79567	-57.91257	69
Verónica	-35.38796	-57.33691	20
Veinticinco de Mayo	-27.37679	-54.74312	396
Urdinarrain	-32.68573	-58.89323	68
Ubajay	-31.79358	-58.3135	54
Tres Capones	-28.00641	-55.60471	157
Tortuguitas	-34.47513	-58.75367	20
Tigre	-34.42603	-58.57962	8
Tandil	-37.32167	-59.13316	192
Tacuarendí	-28.41265	-59.26	50
Tabossi	-31.80135	-59.93477	100
Suipacha	-34.7702	-59.68783	48
Sauce de Luna	-31.23794	-59.21872	76
Sauce	-30.08671	-58.78777	71
San Vicente	-35.0249	-58.42409	24
San Vicente	-26.61667	-54.13333	603
Santo Tomé	-28.54939	-56.04077	81
Santo Pipó	-27.14132	-55.40867	174
Santa Rosa	-28.26318	-58.11891	79
Santa María	-27.9349	-55.40742	137
Santa Lucía	-28.98746	-59.10287	54
Santa Elena	-30.94432	-59.78832	74
Santa Anita	-32.17476	-58.78622	67
Santa Ana	-30.90004	-57.93162	50
Santa Ana	-27.3674	-55.58091	164
San Salvador	-31.62487	-58.50524	75
San Roque	-28.57457	-58.70817	64
San Pedro	-33.67918	-59.66633	30
San Pedro	-26.62207	-54.10842	554
San Miguel del Monte	-35.43962	-58.80675	25
San Miguel	-27.99585	-57.58964	80
San Luis del Palmar	-27.5079	-58.55454	62
San Lorenzo	-28.13306	-58.76733	64
San Justo	-34.6766	-58.56058	35
San Justo	-32.44654	-58.43569	44
San José de Feliciano	-30.38452	-58.75167	68
San José	-27.76979	-55.7826	169
San Javier	-30.57781	-59.9317	27
San Javier	-27.87427	-55.13509	112
San Isidro	-34.4721	-58.52708	20
San Ignacio	-27.25586	-55.5339	161
San Gustavo	-30.68961	-59.3984	56
San Francisco de Laishí	-26.24262	-58.63039	73
San Cosme	-27.37123	-58.51214	72
San Clemente del Tuyú	-36.35694	-56.72351	6
San Cayetano	-38.34653	-59.60954	100
San Carlos	-27.74586	-55.89731	205
San Antonio de Areco	-34.2503	-59.47163	32
San Andrés de Giles	-34.44721	-59.44451	51
Saladillo	-35.63708	-59.77788	45
Saladas	-28.25384	-58.62591	75
Ruiz de Montoya	-26.98333	-55.05	178
Rosario del Tala	-32.30286	-59.14545	39
Roque Pérez	-35.39794	-59.33271	34
Riachuelo	-27.58191	-58.74497	57
Riacho Eh-Eh	-25.36209	-58.2775	78
Retiro	-34.58333	-58.38333	7
Resistencia	-27.46056	-58.98389	56
Reconquista	-29.15	-59.65	50
Rauch	-36.7745	-59.08973	95
Ranchos	-35.51601	-58.3188	23
Quilmes	-34.72904	-58.26374	18
Puerto Yeruá	-31.53713	-58.01527	26
Puerto Vilelas	-27.51414	-58.93906	52
Puerto Tirol	-27.37218	-59.08206	54
Puerto Rico	-26.79598	-55.02402	147
Puerto Piray	-26.46937	-54.70736	137
Puerto Libertad	-25.91958	-54.58229	101
Puerto Leoni	-26.98762	-55.16569	95
Puerto Iguazú	-25.59912	-54.57355	177
Puerto Ibicuy	-33.75305	-59.17762	4
Puerto Esperanza	-26.02267	-54.61356	152
Puerto Eldorado	-26.40843	-54.69463	102
Puerto Bermejo	-26.92739	-58.50917	54
Pueblo Libertador	-30.22087	-59.38981	38
Pronunciamiento	-32.3448	-58.44268	47
Presidencia Roca	-26.1409	-59.59541	91
Presidencia de la Plaza	-27.00147	-59.84243	76
Posadas	-27.36708	-55.89608	127
Pontevedra	-34.74785	-58.70072	24
Pirané	-25.73239	-59.10879	86
Pinamar	-37.10795	-56.8614	15
Pilar	-34.45866	-58.9142	27
Pila	-36.00058	-58.14391	17
Piedras Blancas	-31.18592	-59.95181	46
Picada Gobernador López	-27.67069	-55.24585	299
Perugorría	-29.34132	-58.61059	64
Pedro R. Fernández	-28.75097	-58.65583	73
Paso de los Libres	-29.71251	-57.08771	73
Paso de la Patria	-27.31676	-58.57197	56
Panambí	-27.72369	-54.91515	121
Pampa del Indio	-26.04982	-59.93728	96
Pampa Almirón	-26.70039	-59.12331	68
Palo Santo	-25.56332	-59.33781	90
Palmar Grande	-27.94195	-57.90057	75
Olivos	-34.50747	-58.48703	23
Oberá	-27.48706	-55.11994	345
Nueve de Julio	-28.84051	-58.8265	74
Nuestra Señora del Rosario de Caa Catí	-27.75072	-57.62073	77
Nogoyá	-32.39387	-59.78953	50
Necochea	-38.5545	-58.73961	19
Navarro	-35.00587	-59.27828	30
Muñiz	-34.55622	-58.70739	31
Morón	-34.6509	-58.61956	29
Monte Caseros	-30.25359	-57.63626	53
Montecarlo	-26.5662	-54.757	205
Mojón Grande	-27.71165	-55.15631	327
Mocoretá	-30.61891	-57.96344	52
Miramar	-38.27161	-57.8389	14
Merlo	-34.66627	-58.72927	21
Mercedes	-34.65145	-59.43068	43
Mercedes	-29.18416	-58.07519	96
Mburucuyá	-28.04532	-58.22835	79
Mártires	-27.42265	-55.37659	171
Mariano I. Loza	-29.37667	-58.19436	122
Margarita Belén	-27.2616	-58.97219	58
Mar del Tuyú	-36.57531	-56.68883	6
Mar del Plata	-38.00042	-57.5562	24
Marcos Paz	-34.78233	-58.83777	28
Malabrigo	-29.34636	-59.96957	59
Makallé	-27.20687	-59.28696	67
Maipú	-36.86274	-57.88094	16
Magdalena	-35.08065	-57.51301	11
Maciá	-32.1722	-59.39947	76
Luján	-34.57028	-59.105	27
Lucas González	-32.3843	-59.53013	94
Los Polvorines	-34.50316	-58.70596	28
Los Helechos	-27.55051	-55.07908	369
Los Conquistadores	-30.5908	-58.46773	75
Los Charrúas	-31.17548	-58.18774	72
Loreto	-27.76834	-57.27531	79
Loreto	-27.33177	-55.52499	173
Lomas de Zamora	-34.76088	-58.40632	23
Lomas de Vallejos	-27.73501	-57.9185	71
Lobos	-35.18537	-59.09788	29
Lobería	-38.15574	-58.7913	82
Libertad	-30.043	-57.8202	85
Leandro N. Alem	-27.60341	-55.32491	296
La Verde	-27.12634	-59.37352	67
Las Toscas	-28.3529	-59.25795	53
Las Garcitas	-26.61802	-59.80135	86
Las Flores	-36.01403	-59.09984	39
Larroque	-33.03595	-59.00125	54
La Plata	-34.92145	-57.95453	27
La Paz	-30.74179	-59.64517	53
Lapachito	-27.15997	-59.38605	66
Lanús	-34.70252	-58.3955	10
La Leonesa	-27.03786	-58.70347	60
Laguna Naick-Neck	-25.24769	-58.09383	78
Laguna Limpia	-26.49565	-59.68083	86
La Escondida	-27.10724	-59.44784	67
La Eduvigis	-26.83607	-59.06211	70
La Cruz	-29.17443	-56.64326	69
La Criolla	-31.26904	-58.10558	55
Juan Pujol	-30.41873	-57.85612	63
Jardín América	-27.04346	-55.22698	227
Ituzaingó	-34.65803	-58.66317	31
Ituzaingó	-27.58162	-56.68231	78
Itatí	-27.27043	-58.24458	65
Itá Ibaté	-27.42573	-57.33758	75
Ibarreta	-25.21438	-59.85851	107
Hurlingham	-34.5904	-58.62904	17
Herrera	-32.43401	-58.63177	51
Herradura	-26.48705	-58.31198	64
Herlitzka	-27.56516	-58.25557	66
Hasenkamp	-31.51226	-59.83545	90
Guaraní	-27.52323	-55.16077	359
Gualeguaychú	-33.00937	-58.51722	14
Gualeguay	-33.14156	-59.30966	14
Goya	-29.13995	-59.26343	25
Gobernador Roca	-27.18636	-55.46433	185
Gobernador Mansilla	-32.54453	-59.3548	50
Gobernador Juan E. Martínez	-28.91161	-58.93594	64
Gobernador Virasora	-28.05	-56.03333	133
General Vedia	-26.93382	-58.6604	58
General San Martín	-34.57424	-58.53496	26
General Rodríguez	-34.60838	-58.95253	34
General Pacheco	-34.45256	-58.64312	4
General Lavalle	-36.40633	-56.94329	3
General Las Heras	-34.92682	-58.94667	33
General Juan Madariaga	-36.99725	-57.13951	11
General José de San Martín	-26.53743	-59.34158	81
General Guido	-36.64074	-57.79174	14
General Galarza	-32.72034	-59.39615	54
General Conesa	-36.52013	-57.32537	4
General Campos	-31.52311	-58.4049	65
General Belgrano	-35.76952	-58.49341	22
General Alvear	-27.42611	-55.16916	290
Garupá	-27.48171	-55.82921	108
Garuhapé	-26.81768	-54.95665	177
Garruchos	-28.17208	-55.65406	80
Formosa	-26.18489	-58.17313	62
Fontana	-27.41813	-59.02392	54
Florentino Ameghino	-27.56667	-55.13333	252
Florencio Varela	-34.82722	-58.39556	28
Felipe Yofré	-29.10226	-58.33772	72
Federal	-30.95465	-58.78326	67
Federación	-31.00621	-57.89962	46
José María Ezeiza	-34.84787	-58.52869	20
Esquina	-30.01476	-59.5289	39
Espinillo	-24.98132	-58.5521	92
Ensenada	-34.86186	-57.91126	5
Empedrado	-27.95178	-58.80584	68
El Soberbio	-27.29847	-54.19877	156
Eldorado	-26.40484	-54.62478	233
El Colorado	-26.30808	-59.37291	86
El Alcázar	-26.71459	-54.81523	210
Dos de Mayo	-27.02277	-54.68669	561
Dos Arroyos	-27.69946	-55.25207	287
Don Torcuato	-34.49459	-58.62729	15
Domínguez	-31.9871	-58.96197	59
Dolores	-36.31321	-57.67918	14
Curuzú Cuatiá	-29.79171	-58.0546	79
Cruz de los Milagros	-28.83646	-59.00476	59
Coté-Lai	-27.5	-59.6	65
Corrientes	-27.46784	-58.8344	53
Coronel Vidal	-37.44604	-57.72865	26
Conscripto Bernardi	-31.04837	-59.08435	70
Concordia	-31.39296	-58.02089	30
Concepción del Uruguay	-32.48463	-58.23217	9
Concepción de la Sierra	-27.98311	-55.52031	167
Concepción	-28.39175	-57.88777	67
Comandante Fontana	-25.33453	-59.68212	103
Colonias Unidas	-26.69825	-59.63154	83
Colonia Elisa	-26.93041	-59.51861	72
Colonia Elía	-32.67144	-58.32538	35
Colonia Benítez	-27.33099	-58.94622	54
Colonia Aurora	-27.47428	-54.52498	178
Colón	-32.22312	-58.14426	27
Colegiales	-34.57365	-58.44924	27
Clorinda	-25.28481	-57.71851	66
Ciervo Petiso	-26.58041	-59.63094	88
Chavarría	-28.95489	-58.57277	64
Chascomús	-35.57297	-58.00809	15
Charadai	-27.65503	-59.86291	67
Chajarí	-30.75048	-57.97962	58
Cerro Corá	-27.5131	-55.60896	161
Cerro Azul	-27.6331	-55.4962	263
Ceibas	-33.43333	-58.75	7
Castelli	-36.08949	-57.80393	11
Caseros	-34.60333	-58.56409	35
Caseros	-32.46325	-58.47872	51
Carmen de Areco	-34.37743	-59.82395	49
Caraguatay	-26.60587	-54.78093	126
Capitán Solari	-26.80215	-59.56089	80
Capitán Sarmiento	-34.17238	-59.79048	51
Capioví	-26.92998	-55.06084	184
Capilla del Señor	-34.29207	-59.10179	24
Cañuelas	-35.05379	-58.76205	30
Candelaria	-27.4595	-55.74536	119
Campo Viera	-27.33271	-55.05651	342
Campo Ramón	-27.4549	-55.02122	364
Campo Grande	-27.2077	-54.97977	454
Campana	-34.16327	-58.95919	16
Buenos Aires	-34.61315	-58.37723	31
Brandsen	-35.16842	-58.23427	21
Bovril	-31.34311	-59.44512	81
Bonpland	-29.81708	-57.42974	75
Bonpland	-27.48218	-55.47756	187
Boedo	-34.63333	-58.41667	19
Berón de Astrada	-27.55067	-57.5346	79
Bernardo de Irigoyen	-26.2552	-53.64581	815
Berisso	-34.8735	-57.88303	5
Berazategui	-34.76531	-58.21278	20
Benito Juárez	-37.67188	-59.80653	219
Bella Vista	-28.50752	-59.04149	63
Belgrano	-34.5627	-58.45829	18
Belén de Escobar	-34.34833	-58.79265	26
Basail	-27.88539	-59.28245	57
Barranqueras	-27.48132	-58.93925	52
Barracas	-34.64966	-58.38341	10
Baradero	-33.81105	-59.50807	29
Balcarce	-37.84616	-58.25522	126
Azul	-36.77698	-59.85854	141
Azara	-28.0616	-55.67797	127
Ayacucho	-37.15185	-58.48691	81
Avellaneda	-29.11761	-59.65834	52
Arroyo del Medio	-27.69748	-55.40376	287
Aristóbulo del Valle	-27.09625	-54.89626	494
Apóstoles	-27.91421	-55.75355	179
Alvear	-29.09683	-56.55043	65
Almafuerte	-27.50825	-55.40258	328
Aldea San Antonio	-32.62317	-58.70512	39
Alba Posse	-27.56978	-54.68262	125
Guernica	-34.9162	-58.38111	27
Villa Basilio Nievas	-31.55	-68.73333	776
Zapala	-38.89916	-70.05442	1015
Yuto	-23.64342	-64.47194	355
Yerba Buena	-26.81667	-65.31667	515
Yacimiento Río Turbio	-51.57321	-72.3508	573
Winifreda	-36.22643	-64.23388	169
Wenceslao Escalante	-33.17303	-62.77078	119
Vista Alegre	-38.75	-68.18333	336
Vinchina	-28.75964	-68.20692	1460
Villa Valeria	-34.34093	-64.9203	297
Villa Urquiza	-31.64757	-60.37516	51
Villa Unión	-29.41347	-62.78822	87
Villa Unión	-29.31595	-68.22658	1154
Villa Tulumba	-30.39552	-64.12241	702
Villa Trinidad	-30.21329	-61.87597	95
Villa Santa Rosa	-31.74434	-68.31411	572
Villa Rumipal	-32.1879	-64.48027	546
Villa Regina	-39.1	-67.06667	201
Villa Reducción	-33.20105	-63.86234	265
Villa Paula de Sarmiento	-31.4933	-68.53838	646
Villa Ojo de Agua	-29.50003	-63.69377	531
Villa Nueva	-32.89722	-68.78038	719
Villa Nueva	-32.43293	-63.24763	204
Villa Mugueta	-33.31129	-61.05515	85
Villa Media Agua	-31.98267	-68.42394	553
Villa María	-32.40751	-63.24016	202
